ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour
1,12,Rue de Rivoli,75001,15.2
2,34,Avenue des Champs-Elysées,75008,20.1
3,56,Boulevard Saint-Germain,75005,18.7
4,78,Rue de Rivoli,75001,22.3
5,90,Rue Lafayette,75010,19.5
6,123,Avenue Montaigne,75008,25.6
7,,Rue du Faubourg Saint-Honoré,75008,
8,45,Rue du Faubourg Saint-Honoré,75008,21.4
9,67,Boulevard Haussmann,75009,17.8
10,89,Rue de la Paix,75002,23.1
11,12,Rue de Rivoli,75001,15.2
12,101,Avenue Victor Hugo,75016,16.9
13,234,Rue Saint-Antoine,75004,18.3
14,345,Boulevard Voltaire,75011,14.7
