ID_Rue,ID_Ville,ID_IRIS
1,Paris,IRIS_75001_001
2,Paris,IRIS_75008_001
3,Paris,IRIS_75005_001
4,Paris,IRIS_75001_002
5,Paris,IRIS_75010_001
6,Paris,IRIS_75008_002
7,Paris,IRIS_75008_003
8,Paris,IRIS_75009_001
9,Paris,IRIS_75002_001
10,Paris,IRIS_75016_001
11,Paris,IRIS_75004_001
12,Paris,IRIS_75011_001
101,Evry,IRIS_91000_001
102,Evry,IRIS_91000_002
103,Evry,IRIS_91000_003
104,Evry,IRIS_91000_004
105,Evry,IRIS_91000_005
106,Evry,IRIS_91000_006
107,Evry,IRIS_91000_007
108,Evry,IRIS_91000_008
109,Evry,IRIS_91000_009
110,Evry,IRIS_91000_010
