ID_IRIS,Conso_moyenne_annuelle,Nb_logements
IRIS_75001_001,12300.5,1
IRIS_75001_069,8760.0,1
IRIS_75001_111,9271.0,1
IRIS_75001_114,6497.0,1
IRIS_75001_122,6059.0,1
IRIS_75001_131,7446.0,1
IRIS_75002_018,8030.0,1
IRIS_75002_020,6789.0,1
IRIS_75002_031,3285.0,1
IRIS_75002_040,8285.5,1
IRIS_75002_092,9599.5,1
IRIS_75002_104,7957.0,1
IRIS_75002_109,2993.0,1
IRIS_75002_130,3285.0,1
IRIS_75002_145,4672.0,1
IRIS_75003_028,5073.5,1
IRIS_75003_029,5146.5,1
IRIS_75003_033,4891.0,1
IRIS_75003_057,4489.5,1
IRIS_75003_075,6424.0,1
IRIS_75003_105,5986.0,1
IRIS_75003_117,4927.5,1
IRIS_75003_136,7300.0,1
IRIS_75003_137,2920.0,1
IRIS_75004_034,6825.5,1
IRIS_75004_045,7993.5,1
IRIS_75004_068,7190.5,1
IRIS_75004_081,3248.5,1
IRIS_75004_082,13614.5,1
IRIS_75004_112,5183.0,1
IRIS_75004_123,5402.0,1
IRIS_75004_125,3321.5,1
IRIS_75004_139,7190.5,1
IRIS_75004_142,6789.0,1
IRIS_75005_026,5256.0,1
IRIS_75005_072,8906.0,1
IRIS_75005_076,9672.5,1
IRIS_75005_090,4380.0,1
IRIS_75005_101,10074.0,1
IRIS_75005_146,8979.0,1
IRIS_75005_149,5256.0,1
IRIS_75006_038,3869.0,1
IRIS_75006_089,7884.0,1
IRIS_75006_095,8358.5,1
IRIS_75006_098,7117.5,1
IRIS_75006_143,5402.0,1
IRIS_75006_144,7117.5,1
IRIS_75006_147,2263.0,1
IRIS_75007_006,6132.0,1
IRIS_75007_053,3212.0,1
IRIS_75007_056,6570.0,1
IRIS_75007_070,7738.0,1
IRIS_75007_077,2007.5,1
IRIS_75007_087,4708.5,1
IRIS_75007_148,3869.0,1
IRIS_75008_021,5219.5,1
IRIS_75008_052,3394.5,1
IRIS_75008_060,5438.5,1
IRIS_75008_061,8249.0,1
IRIS_75008_067,6424.0,1
IRIS_75008_080,5292.5,1
IRIS_75008_093,3358.0,1
IRIS_75008_100,9015.5,1
IRIS_75008_120,2993.0,1
IRIS_75008_124,6606.5,1
IRIS_75008_150,6351.0,1
IRIS_75009_039,8796.5,1
IRIS_75009_058,6862.0,1
IRIS_75009_078,5365.5,1
IRIS_75010_007,4453.0,1
IRIS_75010_017,10585.0,1
IRIS_75010_025,7081.0,1
IRIS_75010_044,6424.0,1
IRIS_75010_106,4526.0,1
IRIS_75010_113,5110.0,1
IRIS_75010_128,5621.0,1
IRIS_75010_140,4307.0,1
IRIS_75011_030,9672.5,1
IRIS_75011_047,8577.5,1
IRIS_75011_051,5146.5,1
IRIS_75011_054,3723.0,1
IRIS_75011_079,7628.5,1
IRIS_75011_083,4745.0,1
IRIS_75011_091,4270.5,1
IRIS_75011_108,0.0,1
IRIS_75011_133,4964.0,1
IRIS_75012_010,5073.5,1
IRIS_75012_022,8541.0,1
IRIS_75012_062,3650.0,1
IRIS_75012_074,6679.5,1
IRIS_75012_102,6935.0,1
IRIS_75012_115,10256.5,1
IRIS_75013_032,5073.5,1
IRIS_75013_041,10037.5,1
IRIS_75013_059,7446.0,1
IRIS_75013_094,2737.5,1
IRIS_75013_097,5073.5,1
IRIS_75013_107,11899.0,1
IRIS_75013_118,5219.5,1
IRIS_75014_002,11278.5,1
IRIS_75014_008,6387.5,1
IRIS_75014_012,6497.0,1
IRIS_75014_035,9563.0,1
IRIS_75014_042,6679.5,1
IRIS_75014_048,4453.0,1
IRIS_75014_138,8139.5,1
IRIS_75014_141,5000.5,1
IRIS_75015_003,10329.5,1
IRIS_75015_005,6653.71,1
IRIS_75015_013,8285.5,1
IRIS_75015_016,6606.5,1
IRIS_75015_036,9818.5,1
IRIS_75015_046,5840.0,1
IRIS_75015_050,4161.0,1
IRIS_75015_121,9125.0,1
IRIS_75015_127,4161.0,1
IRIS_75015_135,3285.0,1
IRIS_75016_011,6424.0,1
IRIS_75016_014,6862.0,1
IRIS_75016_015,3102.5,1
IRIS_75016_024,6606.5,1
IRIS_75016_037,6424.0,1
IRIS_75016_063,4964.0,1
IRIS_75016_065,3285.0,1
IRIS_75016_134,7701.5,1
IRIS_75017_043,4891.0,1
IRIS_75017_064,6716.0,1
IRIS_75017_066,4781.5,1
IRIS_75017_071,8431.5,1
IRIS_75017_084,4818.0,1
IRIS_75017_088,8723.5,1
IRIS_75017_119,2810.5,1
IRIS_75018_009,8577.5,1
IRIS_75018_023,3796.0,1
IRIS_75018_055,7373.0,1
IRIS_75018_096,6653.71,1
IRIS_75018_103,6022.5,1
IRIS_75018_129,7519.0,1
IRIS_75019_019,6643.0,1
IRIS_75019_073,10147.0,1
IRIS_75019_099,5949.5,1
IRIS_75019_126,5037.0,1
IRIS_75020_004,7190.5,1
IRIS_75020_027,0.0,1
IRIS_75020_049,2737.5,1
IRIS_75020_085,7628.5,1
IRIS_75020_086,6387.5,1
IRIS_75020_110,4599.0,1
IRIS_75020_116,2591.5,1
IRIS_75020_132,6314.5,1
