ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour,High_Consumption_Flag
1,46.0,Rue De Belleville,75003,33.7,
2,246.0,Rue De Charonne,75020,30.9,
3,24.0,Avenue Montaigne,75015,28.3,
4,207.0,Rue De Ménilmontant,75008,19.7,
5,168.0,Rue Blanche,75008,18.22935472400022,
6,167.0,Avenue Hoche,75018,16.8,
7,107.0,Rue De La Folie-Méricourt,75020,12.2,
8,145.0,Rue De Rivoli,75003,17.5,
9,135.0,Rue De Courcelles,75003,23.5,
10,51.0,Rue De Ménilmontant,75010,13.9,
11,204.0,Boulevard Beaumarchais,75003,17.6,
12,51.0,Rue De Rome,75004,17.8,
13,159.0,Rue De Rome,75013,22.7,
14,172.0,Rue Du Faubourg Saint-Honoré,75014,18.8,
15,25.0,Avenue De La Bastille,75008,8.5,
16,206.0,Boulevard Du Temple,75003,18.1,
17,99.0,Rue De Rivoli,75016,29.0,
18,8.0,Rue De Belleville,75007,22.0,
19,152.0,Rue De Rivoli,75016,18.2,
20,125.0,Avenue De La République,75011,18.6,
21,199.0,Avenue Victor Hugo,75001,14.3,
22,94.0,Rue De Ménilmontant,75019,23.4,
23,215.0,Rue De La Folie-Méricourt,75020,10.4,
24,162.0,Rue De Lévis,75001,18.1,
25,225.0,Rue De Courcelles,75019,19.4,
26,169.0,Avenue Montaigne,75001,14.4,
27,33.0,Rue Lafayette,75009,0.0,
28,123.0,Rue Condorcet,75014,13.9,
29,82.0,Avenue Montaigne,75020,14.1,
30,234.0,Avenue Montaigne,75001,26.5,
31,120.0,Boulevard Du Temple,75009,9.0,
32,163.0,Rue De Courcelles,75005,13.9,
33,53.0,Rue De La Roquette,75013,13.4,
34,18.0,Avenue Victor Hugo,75016,18.7,
35,91.0,Rue Des Martyrs,75010,26.2,
36,171.0,Rue Oberkampf,75001,26.9,
37,247.0,Boulevard Malesherbes,75015,17.6,
38,134.0,Avenue Parmentier,75014,10.6,
39,244.0,Rue De Rome,75007,24.1,
40,249.0,Rue De Rivoli,75016,22.7,
41,42.0,Boulevard Du Temple,75014,27.5,
42,118.0,Rue De Prony,75007,18.3,
43,104.0,Rue Du Faubourg Saint-Honoré,75013,13.4,
44,98.0,Rue De La Paix,75003,17.6,
45,244.0,Boulevard Richard-Lenoir,75006,21.9,
46,139.0,Rue Amelot,75001,16.0,
47,151.0,Avenue De Wagram,75017,23.5,
48,0.0,Rue De Lévis,75020,12.2,
49,41.0,Avenue De Wagram,75010,7.5,
50,168.0,Boulevard Jules Ferry,75019,11.4,
51,95.0,Rue De La Roquette,75006,14.1,
52,44.0,Boulevard Haussmann,75008,9.3,
53,93.0,Rue De Charonne,75016,8.8,
54,60.0,Avenue De La Bastille,75014,10.2,
55,231.0,Avenue De Wagram,75011,20.2,
56,179.0,Avenue Parmentier,75005,18.0,
57,250.0,Avenue Philippe-Auguste,75006,12.3,
58,8.0,Rue Saint-Maur,75003,18.8,
59,71.0,Boulevard Haussmann,75004,20.4,
60,229.0,Boulevard Malesherbes,75020,14.9,
61,188.0,Boulevard Des Batignolles,75001,22.6,
62,153.0,Boulevard De Magenta,75017,10.0,
63,22.0,Boulevard Des Batignolles,75009,13.6,
64,39.0,Rue De Rome,75015,18.4,
65,43.0,Rue De La Folie-Méricourt,75013,9.0,
66,211.0,Rue De La Roquette,75002,13.1,
67,65.0,Rue De Lévis,75018,17.6,
68,212.0,Rue De La Paix,75016,19.7,
69,208.0,Rue De Prony,75002,24.0,
70,100.0,Rue Lafayette,75016,21.2,
71,43.0,Rue De La Roquette,75011,23.1,
72,128.0,Rue De Courcelles,75012,24.4,
73,140.0,Rue Amelot,75004,27.8,
74,159.0,Rue De Lévis,75020,18.3,
75,123.0,Rue De Belleville,75013,17.6,
76,24.0,Boulevard Du Temple,75017,26.5,
77,183.0,Rue Popincourt,75001,5.5,
78,207.0,Rue Blanche,75013,14.7,
79,223.0,Avenue Montaigne,75007,20.9,
80,192.0,Boulevard Pereire,75014,14.5,
81,115.0,Boulevard Beaumarchais,75012,8.9,
82,38.0,Avenue Parmentier,75008,37.3,
83,250.0,Rue De La Roquette,75011,13.0,
84,16.0,Avenue De Clichy,75013,13.2,
85,166.0,Avenue Philippe-Auguste,75008,20.9,
86,230.0,Boulevard Beaumarchais,75003,17.5,
87,195.0,Boulevard De Magenta,75002,12.9,
88,0.0,Rue Amelot,75011,23.9,
89,201.0,Boulevard Haussmann,75014,21.6,
90,135.0,Rue Cardinet,75008,12.0,
91,128.0,Boulevard De Rochechouart,75010,11.7,
92,70.0,Rue De Charonne,75005,26.3,
93,185.0,Avenue Parmentier,75018,9.2,
94,92.0,Rue Saint-Maur,75011,7.5,
95,176.0,Rue De Ménilmontant,75010,22.9,
96,93.0,Rue De Courcelles,75014,18.22935472400022,
97,60.0,Boulevard De Rochechouart,75004,13.9,
98,57.0,Rue Du Temple,75001,19.5,
99,18.0,Boulevard Pereire,75017,16.3,
100,46.0,Boulevard De Rochechouart,75016,24.7,
101,90.0,Rue Condorcet,75020,27.6,
102,20.0,Rue Popincourt,75007,19.0,
103,141.0,Rue Cardinet,75012,16.5,
104,118.0,Rue Du Faubourg Saint-Honoré,75004,21.8,
105,233.0,Rue De Ménilmontant,75002,16.4,
106,19.0,Rue Jean-Pierre Timbaud,75020,12.4,
107,185.0,Rue De Lévis,75020,32.6,
108,115.0,Rue Du Temple,75006,0.0,
109,79.0,Boulevard Jules Ferry,75013,8.2,
110,53.0,Rue Lafayette,75006,12.6,
111,93.0,Rue Jean-Pierre Timbaud,75001,25.4,
112,56.0,Boulevard Saint-Germain,75019,14.2,
113,134.0,Avenue Ledru-Rollin,75014,14.0,
114,38.0,Boulevard Haussmann,75017,17.8,
115,36.0,Rue Amelot,75005,28.1,
116,134.0,Rue Saint-Maur,75011,7.1,
117,150.0,Avenue De Wagram,75016,13.5,
118,248.0,Avenue De La Bastille,75015,14.3,
119,39.0,Rue De La Roquette,75013,7.7,
120,132.0,Boulevard Malesherbes,75006,8.2,
121,172.0,Rue De Charonne,75001,25.0,
122,90.0,Boulevard Haussmann,75017,16.6,
123,126.0,Rue Cardinet,75011,14.8,
124,126.0,Rue Saint-Maur,75010,18.1,
125,181.0,Boulevard Beaumarchais,75016,9.1,
126,213.0,Rue Des Martyrs,75020,13.8,
127,207.0,Rue De Rivoli,75014,11.4,
128,74.0,Rue De Rome,75009,15.4,
129,87.0,Boulevard Des Batignolles,75004,20.6,
130,175.0,Rue De Prony,75001,9.0,
131,9.0,Rue De Rome,75009,20.4,
132,74.0,Boulevard De Rochechouart,75009,17.3,
133,172.0,Boulevard Jules Ferry,75003,13.6,
134,40.0,Rue Des Martyrs,75020,21.1,
135,32.0,Rue De La Roquette,75007,9.0,
136,115.0,Rue De Courcelles,75009,20.0,
