ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour
100001,239.0,Avenue de l'Europe,91000,16.1
100002,138.0,Rue Nationale,91000,14.4
100003,158.0,Boulevard de la Paix,91000,21.1
100004,23.0,Rue du Stade,91000,17.8
100005,107.0,Avenue des Lilas,91000,11.3
100006,117.0,Avenue du Parc,91000,11.8
100007,139.0,Boulevard Liberté,91000,16.0
100008,182.0,Rue du Commerce,91000,27.3
100009,212.0,Boulevard Victor Hugo,91000,26.0
100010,24.0,Rue du Stade,91000,17.5
100011,184.0,Avenue des Tilleuls,91000,19.9
100012,,Avenue Carnot,91000,33.2
100013,29.0,Boulevard Clemenceau,91000,24.9
100014,120.0,Avenue des Écoles,91000,21.6
100015,65.0,Boulevard Liberté,91000,15.8
100016,122.0,Boulevard de la Paix,91000,9.9
100017,114.0,Rue du Commerce,91000,9.4
100018,88.0,Rue Pasteur,91000,30.3
100019,104.0,Avenue Foch,91000,19.5
100020,158.0,Rue Pasteur,91000,11.0
100021,81.0,Boulevard Victor Hugo,91000,31.2
100022,234.0,Boulevard Clemenceau,91000,17.3
100023,231.0,Avenue des Lilas,91000,18.7
100024,249.0,Boulevard Victor Hugo,91000,12.3
100025,224.0,Rue de la Gendarmerie,91000,30.9
100026,201.0,Boulevard de la Paix,91000,23.1
100027,37.0,Boulevard des Platanes,91000,11.9
100028,206.0,Avenue Foch,91000,31.8
100029,157.0,Boulevard des Sports,91000,17.7
100030,176.0,Rue Pasteur,91000,20.3
100031,108.0,Boulevard des Champs,91000,21.3
100032,237.0,Boulevard Clemenceau,91000,11.5
100033,58.0,Rue Nationale,91000,22.8
100034,205.0,Avenue de la Poste,91000,24.5
100035,,Boulevard des Sports,91000,14.8
100036,97.0,Boulevard Liberté,91000,14.8
100037,11.0,Rue Nationale,91000,16.9
100038,81.0,Avenue de la Gare,91000,11.3
100039,218.0,Boulevard Clemenceau,91000,29.1
100040,169.0,Avenue des Écoles,91000,
100041,7.0,Boulevard de la Paix,91000,8.3
100042,211.0,Rue de l'Église,91000,0.8
100043,75.0,Avenue du Général de Gaulle,91000,15.1
100044,6.0,Avenue des Tilleuls,91000,19.5
100045,71.0,Rue des Écoles,91000,8.0
100046,200.0,Avenue de la Poste,91000,14.7
100047,22.0,Rue de la Mairie,91000,20.0
100048,167.0,Avenue des Tilleuls,91000,23.0
100049,71.0,Avenue de la Gare,91000,30.6
100050,,Avenue Jean Jaurès,91000,15.2
100051,159.0,Avenue de l'Europe,91000,15.0
100052,16.0,Rue Pasteur,91000,19.4
100053,219.0,Avenue du Général de Gaulle,91000,17.2
100054,90.0,Rue de l'Église,91000,9.4
100055,225.0,Avenue de la Gare,91000,18.9
100056,103.0,Rue de la République,91000,11.3
100057,138.0,Rue Pasteur,91000,18.9
100058,87.0,Boulevard Liberté,91000,22.4
100059,11.0,Avenue Carnot,91000,13.2
100060,178.0,Rue de la Mairie,91000,7.0
100061,149.0,Boulevard Liberté,91000,16.0
100062,9.0,Avenue Carnot,91000,18.8
100063,221.0,Rue des Roses,91000,14.1
100064,166.0,Avenue Jean Jaurès,91000,5.1
100065,124.0,Avenue de la Gare,91000,12.7
100066,124.0,Boulevard Clemenceau,91000,8.9
100067,160.0,Boulevard des Sports,91000,17.0
100068,193.0,Rue de l'Église,91000,18.4
